1,2
2,4
3,6
4,8
5,10
6,12
7,14
8,16
9,18
10,20
11,22
12,24
13,26
14,28
15,30
16,32
17,34
18,36
19,38
20,40
21,42
22,44
23,46
24,48
25,50
26,52
27,54
28,56
29,58
30,60
31,62
32,64
33,66
34,68
35,70
36,72
37,74
38,76
39,78
40,80
41,82
42,84
43,86
44,88
45,90
46,92
47,94
48,96
49,98
50,100
51,102
52,104
53,106
54,108
55,110
56,112
57,114
58,116
59,118
60,120
61,122
62,124
63,126
64,128
65,130
66,132
67,134
68,136
69,138
70,140
71,142
72,144
73,146
74,148
75,150
76,152
77,154
78,156
79,158
80,160
81,162
82,164
83,166
84,168
85,170
86,172
87,174
88,176
89,178
90,180
91,182
92,184
93,186
94,188
95,190
96,192
97,194
98,196
99,198
100,200
101,202
102,204
103,206
104,208
105,210
106,212
107,214
108,216
109,218
110,220
111,222
112,224
113,226
114,228
115,230
116,232
117,234
118,236
119,238
120,240
121,242
122,244
123,246
124,248
125,250
126,252
127,254
128,256
129,258
130,260
131,262
132,264
133,266
134,268
135,270
136,272
137,274
138,276
139,278
140,280
141,282
142,284
143,286
144,288
145,290
146,292
147,294
148,296
149,298
150,300
151,302
152,304
153,306
154,308
155,310
156,312
157,314
158,316
159,318
160,320
161,322
162,324
163,326
164,328
165,330
166,332
167,334
168,336
169,338
170,340
171,342
172,344
173,346
174,348
175,350
176,352
177,354
178,356
179,358
180,360
181,362
182,364
183,366
184,368
185,370
186,372
187,374
188,376
189,378
190,380
191,382
192,384
193,386
194,388
195,390
196,392
197,394
198,396
199,398
200,400
1,3
2,6
3,9
4,12
5,15
6,18
7,21
8,24
9,27
10,30
11,33
12,36
13,39
14,42
15,45
16,48
17,51
18,54
19,57
20,60
21,63
22,66
23,69
24,72
25,75
26,78
27,81
28,84
29,87
30,90
31,93
32,96
33,99
34,102
35,105
36,108
37,111
38,114
39,117
40,120
41,123
42,126
43,129
44,132
45,135
46,138
47,141
48,144
49,147
50,150
51,153
52,156
53,159
54,162
55,165
56,168
57,171
58,174
59,177
60,180
61,183
62,186
63,189
64,192
65,195
66,198
67,201
68,204
69,207
70,210
71,213
72,216
73,219
74,222
75,225
76,228
77,231
78,234
79,237
80,240
81,243
82,246
83,249
84,252
85,255
86,258
87,261
88,264
89,267
90,270
91,273
92,276
93,279
94,282
95,285
96,288
97,291
98,294
99,297
100,300
101,303
102,306
103,309
104,312
105,315
106,318
107,321
108,324
109,327
110,330
111,333
112,336
113,339
114,342
115,345
116,348
117,351
118,354
119,357
120,360
121,363
122,366
123,369
124,372
125,375
126,378
127,381
128,384
129,387
130,390
131,393
132,396
133,399
134,402
135,405
136,408
137,411
138,414
139,417
140,420
141,423
142,426
143,429
144,432
145,435
146,438
147,441
148,444
149,447
150,450
151,453
152,456
153,459
154,462
155,465
156,468
157,471
158,474
159,477
160,480
161,483
162,486
163,489
164,492
165,495
166,498
167,501
168,504
169,507
170,510
171,513
172,516
173,519
174,522
175,525
176,528
177,531
178,534
179,537
180,540
181,543
182,546
183,549
184,552
185,555
186,558
187,561
188,564
189,567
190,570
191,573
192,576
193,579
194,582
195,585
196,588
197,591
198,594
199,597
200,600
